car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M1200607443,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-20T18:16:10+00:00,2021-12-08T18:55:38+00:00,2021.10.20 ~ 2021.12.08,1.66,40.0,14.29,100.0,0.009,93.95,90.0,32.0,3.0,87.5,75.24,5.4,69.84
M1200607444,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-28T06:03:11+00:00,2021-12-07T19:40:21+00:00,2021.10.28 ~ 2021.12.07,2.27,40.0,14.09,100.0,0.0091,93.82,90.0,56.0,2.5,76.79,73.43,5.4,68.03
M1200607445,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T18:27:09+00:00,2021-12-08T21:44:45+00:00,2021.10.13 ~ 2021.12.08,3.25,46.72,12.38,100.0,0.0144,80.23,90.0,377.0,0.9,96.42,76.68,5.4,71.28
M1200607446,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T17:04:14+00:00,2021-12-08T23:52:47+00:00,2021.10.13 ~ 2021.12.08,3.11,44.75,15.05,100.0,0.0075,95.79,90.0,336.0,2.7,91.67,77.83,5.4,72.43
M1200607447,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T14:59:05+00:00,2021-12-08T19:48:32+00:00,2021.10.13 ~ 2021.12.08,3.95,57.33,20.48,100.0,0.0106,91.38,90.0,337.0,3.0,87.69,80.62,5.4,75.22
M1200607448,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-20T12:33:27+00:00,2021-12-08T22:12:18+00:00,2021.10.20 ~ 2021.12.08,3.47,50.11,16.29,100.0,0.0089,94.18,90.0,216.0,1.2,83.33,77.96,5.4,72.56
M1200607449,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-16T10:46:39+00:00,2021-12-08T22:58:36+00:00,2021.10.16 ~ 2021.12.08,3.01,43.14,16.24,100.0,0.0129,85.65,90.0,738.0,1.1,95.6,76.25,5.4,70.85
M1200607451,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-06T15:48:45+00:00,2021-12-08T23:56:24+00:00,2021.10.06 ~ 2021.12.08,2.63,40.0,15.09,100.0,0.0104,91.68,90.0,361.0,1.5,92.52,75.7,5.4,70.3
M1200607453,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T14:25:33+00:00,2021-12-08T23:55:46+00:00,2021.10.13 ~ 2021.12.08,3.75,54.23,14.47,100.0,0.0089,94.15,90.0,732.0,2.2,93.17,80.96,5.4,75.56
M1200607454,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-11-18T15:16:13+00:00,2021-12-08T17:49:12+00:00,2021.11.18 ~ 2021.12.08,2.41,40.0,13.27,100.0,0.0117,88.85,90.0,81.0,1.8,87.04,74.32,5.4,68.92
M1200607455,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-09-27T23:05:46+00:00,2021-12-08T19:59:58+00:00,2021.09.27 ~ 2021.12.08,2.23,40.0,15.15,100.0,0.0102,92.0,90.0,80.0,4.0,82.5,74.08,5.4,68.68
M1200607456,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T15:31:41+00:00,2021-12-08T13:07:09+00:00,2021.10.13 ~ 2021.12.08,3.0,43.1,15.1,100.0,0.0104,91.77,90.0,228.0,2.3,90.13,76.35,5.4,70.95
M1200607457,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-15T18:57:59+00:00,2021-12-08T20:20:40+00:00,2021.10.15 ~ 2021.12.08,2.82,40.3,10.77,100.0,0.0105,91.42,90.0,297.0,1.6,85.52,74.59,5.4,69.19
M1200607458,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-12T14:17:32+00:00,2021-12-08T19:03:28+00:00,2021.10.12 ~ 2021.12.08,3.29,47.44,10.71,100.0,0.0131,85.01,90.0,667.0,1.6,86.43,76.06,5.4,70.66
M1200607459,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-11-15T10:33:07+00:00,2021-12-08T13:37:26+00:00,2021.11.15 ~ 2021.12.08,2.82,40.29,17.08,100.0,0.0084,94.76,90.0,11.0,2.3,86.36,75.28,5.4,69.88
M1200607463,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T16:29:21+00:00,2021-12-08T23:42:57+00:00,2021.10.13 ~ 2021.12.08,3.28,47.3,17.19,100.0,0.0092,93.73,90.0,217.0,3.1,86.64,77.5,5.4,72.1
M1200607464,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-22T08:16:31+00:00,2021-10-28T19:14:28+00:00,2021.10.22 ~ 2021.10.28,8.9,100.0,16.75,100.0,0.0119,88.21,90.0,4.0,11.8,100.0,96.37,5.4,90.97
M1200607465,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T14:05:09+00:00,2021-12-08T21:53:49+00:00,2021.10.13 ~ 2021.12.08,4.41,64.2,17.02,100.0,0.0136,83.16,90.0,1229.0,1.7,93.86,82.57,5.4,77.17
M1200607466,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-20T08:47:01+00:00,2021-12-08T17:54:46+00:00,2021.10.20 ~ 2021.12.08,2.89,41.4,10.49,100.0,0.0099,92.56,90.0,216.0,0.8,97.69,77.18,5.4,71.78
M1200607468,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T17:14:13+00:00,2021-12-08T20:02:49+00:00,2021.10.13 ~ 2021.12.08,2.9,41.48,13.46,100.0,0.0122,87.62,90.0,355.0,1.3,89.86,75.07,5.4,69.67
M1200607469,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-12-01T13:50:58+00:00,2021-12-08T20:44:02+00:00,2021.12.01 ~ 2021.12.08,2.95,42.25,14.39,100.0,0.0124,86.92,73.19,213.0,0.5,93.19,72.97,5.4,67.57
M1200607470,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-14T00:09:42+00:00,2021-12-08T20:40:13+00:00,2021.10.14 ~ 2021.12.08,3.25,46.79,14.89,100.0,0.0116,89.19,90.0,583.0,1.2,95.54,78.05,5.4,72.65
M1200607471,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T15:46:32+00:00,2021-12-08T14:51:42+00:00,2021.10.13 ~ 2021.12.08,2.65,40.0,12.7,100.0,0.0112,90.09,90.0,273.0,2.1,88.46,74.76,5.4,69.36
M1200607473,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-14T16:55:29+00:00,2021-12-08T17:39:43+00:00,2021.10.14 ~ 2021.12.08,2.8,40.0,12.41,100.0,0.0107,91.0,90.0,276.0,1.5,97.28,76.38,5.4,70.98
M1200607476,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T14:14:25+00:00,2021-12-08T23:51:56+00:00,2021.10.13 ~ 2021.12.08,3.21,46.15,16.02,100.0,0.009,94.0,90.0,1003.0,1.6,99.0,79.22,5.4,73.82
M1200607477,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-12T14:38:51+00:00,2021-12-07T19:40:07+00:00,2021.10.12 ~ 2021.12.07,3.48,50.25,16.07,100.0,0.0092,93.75,90.0,851.0,1.2,91.54,79.3,5.4,73.9
M1200607478,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T18:41:47+00:00,2021-12-08T23:31:11+00:00,2021.10.13 ~ 2021.12.08,3.66,52.87,14.68,100.0,0.0133,84.29,90.0,867.0,1.6,94.75,79.13,5.4,73.73
M1200607479,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-06T16:27:13+00:00,2021-11-22T07:50:11+00:00,2021.10.06 ~ 2021.11.22,2.36,40.0,20.52,100.0,0.0077,95.57,90.0,30.0,0.8,53.33,69.82,5.4,64.42
M1200607480,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-09-16T08:36:13+00:00,2021-12-08T21:15:27+00:00,2021.09.16 ~ 2021.12.08,3.55,51.35,15.49,100.0,0.012,88.04,90.0,270.0,2.5,92.22,78.83,5.4,73.43
M1200607482,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T16:11:39+00:00,2021-10-18T10:24:50+00:00,2021.10.13 ~ 2021.10.18,8.96,100.0,22.24,100.0,0.0085,94.63,90.0,12.0,5.8,100.0,97.44,5.4,92.04
M1200607483,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-25T15:55:20+00:00,2021-11-24T07:59:20+00:00,2021.10.25 ~ 2021.11.24,2.47,40.0,13.66,100.0,0.0107,91.19,90.0,234.0,3.7,93.8,75.83,5.4,70.43
M1200607484,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-14T13:32:46+00:00,2021-12-05T14:27:53+00:00,2021.10.14 ~ 2021.12.05,3.02,43.27,14.94,100.0,0.0101,92.16,90.0,517.0,1.4,99.42,78.02,5.4,72.62
M1200607486,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-14T13:21:17+00:00,2021-12-08T05:29:20+00:00,2021.10.14 ~ 2021.12.08,2.74,40.0,11.54,100.0,0.0096,93.05,90.0,78.0,1.8,82.69,74.29,5.4,68.89
M1200607487,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-25T22:06:56+00:00,2021-10-25T22:06:56+00:00,2021.10.25 ~ 2021.10.25,,0.0,14.5,100.0,,99.33,80.0,,,80.0,59.89,5.4,54.49
M1200607488,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-30T11:28:30+00:00,2021-12-08T22:24:51+00:00,2021.10.30 ~ 2021.12.08,3.59,51.95,11.97,100.0,0.0091,93.83,90.0,881.0,1.0,98.92,81.11,5.4,75.71
M1200607489,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-12T14:13:39+00:00,2021-12-08T22:27:28+00:00,2021.10.12 ~ 2021.12.08,3.32,47.83,13.1,100.0,0.0114,89.63,90.0,657.0,1.0,95.89,78.53,5.4,73.13
M1200607490,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-13T18:00:44+00:00,2021-12-07T16:46:23+00:00,2021.10.13 ~ 2021.12.07,3.75,54.25,17.62,100.0,0.0109,90.63,90.0,119.0,4.4,87.39,79.42,5.4,74.02
M1200607492,IONIQ5,중형,4.92,2021.0,1.0,2021.01,2021-10-14T07:43:18+00:00,2021-12-08T21:11:35+00:00,2021.10.14 ~ 2021.12.08,2.58,40.0,13.99,100.0,0.0107,91.13,90.0,591.0,0.9,96.28,76.24,5.4,70.84
