car_id,car_type,vehicle_type,age_years,model_year,model_month,age_string,first_date,last_date,collection_period,efficiency,efficiency_score,avg_temperature,temperature_score,cell_imbalance,cell_imbalance_score,driving_habit_score,charging_count,avg_charging_amount,charging_pattern_score,weighted_avg,age_penalty,final_score
M2210703623,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T14:15:21+00:00,2021-12-08T23:12:23+00:00,2021.10.13 ~ 2021.12.08,0.52,40.0,21.37,100.0,0.0093,93.52,90.0,68.0,6.6,100.0,77.25,5.4,71.85
M2210703624,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:01:34+00:00,2021-12-08T23:56:27+00:00,2021.10.12 ~ 2021.12.08,1.68,40.0,14.13,100.0,0.0079,95.33,72.84,120.0,2.2,95.42,73.93,5.4,68.53
M2210703625,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:32:23+00:00,2021-12-08T22:53:30+00:00,2021.10.12 ~ 2021.12.08,0.32,40.0,18.79,100.0,0.0115,89.27,76.15,91.0,2.5,100.0,74.24,5.4,68.84
M2210703626,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:09:05+00:00,2021-12-08T23:54:27+00:00,2021.10.06 ~ 2021.12.08,3.52,42.97,18.54,100.0,0.0107,91.06,73.89,26.0,6.8,100.0,75.15,5.4,69.75
M2210703627,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T15:15:32+00:00,2021-12-08T21:36:48+00:00,2021.10.13 ~ 2021.12.08,2.65,40.0,17.28,100.0,0.0092,93.63,75.16,103.0,3.0,100.0,74.8,5.4,69.4
M2210703628,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:03:52+00:00,2021-12-08T23:16:59+00:00,2021.10.12 ~ 2021.12.08,1.48,40.0,10.95,100.0,0.0102,92.12,74.2,57.0,16.9,89.47,72.63,5.4,67.23
M2210703629,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:05:16+00:00,2021-12-08T22:51:15+00:00,2021.10.06 ~ 2021.12.08,0.88,40.0,16.87,100.0,0.0084,94.73,73.02,79.0,13.1,100.0,74.63,5.4,69.23
M2210703630,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-06T15:08:59+00:00,2021-12-08T23:20:58+00:00,2021.10.06 ~ 2021.12.08,0.32,40.0,21.96,100.0,0.0017,98.98,73.59,,,80.0,72.1,5.4,66.7
M2210703638,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-13T14:36:19+00:00,2021-12-08T23:45:09+00:00,2021.10.13 ~ 2021.12.08,1.43,40.0,13.57,100.0,0.0072,96.12,72.85,50.0,14.2,100.0,74.83,5.4,69.43
M2210703639,Niro,소형,4.92,2021.0,1.0,2021.01,2021-10-12T14:30:12+00:00,2021-12-08T23:13:32+00:00,2021.10.12 ~ 2021.12.08,1.26,40.0,12.31,100.0,0.0057,97.29,73.41,44.0,16.4,78.41,71.52,5.4,66.12
